Sigla;Geocod;nome;PA2020;RA2020;PF2020;RF2020;PM2020;RM2020;PS2020;RS2020;PT2020;RT2020;PA2021;RA2021;PF2021;RF2021;PM2021;RM2021;PS2021;RS2021;PT2021;RT2021;PA2022;RA2022;PF2022;RF2022;PM2022;RM2022;PS2022;RS2022;PT2022;RT2022;PA2023;RA2023;PF2023;RF2023;PM2023;RM2023;PS2023;RS2023;PT2023;RT2023;PA2024;RA2024;PF2024;RF2024;PM2024;RM2024;PS2024;RS2024;PT2024;RT2024
MU;4212056;      Palmeira;-;0;90;48;2400;2400;3528;5292;-;0;-;0;200;106;4320;4320;5904;8856;-;0;-;0;120;64;2160;2160;4320;6480;180;234;-;0;120;64;1920;1920;7200;10800;324;421;-;0;134;71;840;840;5940;8910;252;328
MU;4215059;      Rio Rufino;-;0;120;64;3900;3900;240;360;-;0;-;0;96;51;3900;3900;744;1116;-;0;-;0;60;32;3780;3780;1500;2250;-;0;-;0;36;19;4200;4200;1170;1755;-;0;-;0;27;14;2208;2208;540;810;-;0
MU;4216503;      São Joaquim;-;0;135;72;2520;2520;-;0;-;0;-;0;180;95;1920;1920;-;0;-;0;-;0;105;56;1680;1680;-;0;-;0;-;0;168;89;1920;1920;-;0;-;0;-;0;105;56;1260;1260;-;0;-;0
MU;4216800;      São José do Cerrito;-;0;3000;1590;18000;18000;12600;18900;-;0;-;0;3840;2035;36000;36000;27000;40500;360;468;-;0;2400;1272;17550;17550;12000;18000;2100;2730;-;0;3000;1590;30000;30000;35100;52650;2100;2730;-;0;2400;1272;12000;12000;24480;36720;720;936
MU;4218905;      Urubici;-;0;36;19;3600;3600;-;0;-;0;-;0;36;19;3600;3600;-;0;-;0;-;0;18;10;3600;3600;41;62;-;0;-;0;36;19;5040;5040;90;135;-;0;-;0;23;12;2880;2880;126;189;-;0
MU;4218954;      Urupema;-;0;36;19;180;180;-;0;-;0;-;0;54;29;420;420;-;0;-;0;-;0;36;19;504;504;-;0;-;0;-;0;36;19;420;420;-;0;-;0;-;0;30;16;144;144;-;0;-;0
ME;4204;  Vale do Itajaí;209525;251430;6242;3308;170093;170093;49103;73655;3688;4794;208186;249823;6921;3668;191647;191647;56473;84710;8783;11418;217437;260924;6813;3611;198628;198628;65780;98670;10600;13780;213279;255935;4451;2359;191282;191282;60973;91460;2010;2613;205702;246842;3774;2000;134230;134230;61894;92841;4772;6204
MI;42011;    Rio do Sul;78856;94627;2022;1072;101969;101969;20182;30273;890;1157;78118;93742;2375;1259;117366;117366;24413;36620;3405;4427;83188;99826;2676;1418;121389;121389;31460;47190;5270;6851;78194;93833;1609;853;116270;116270;26041;39062;762;991;72557;87068;1176;623;82137;82137;28180;42270;2783;3618
MU;4200309;      Agronômica;3850;4620;231;122;7590;7590;4836;7254;243;316;3850;4620;515;273;9360;9360;5460;8190;1200;1560;3850;4620;513;272;8580;8580;5460;8190;1200;1560;3850;4620;367;195;8930;8930;5460;8190;240;312;2713;3256;69;37;3465;3465;5400;8100;450;585
MU;4201901;      Aurora;-;0;310;164;11682;11682;1860;2790;150;195;-;0;265;140;13110;13110;2535;3803;1200;1560;-;0;251;133;10800;10800;2730;4095;1500;1950;-;0;218;116;12240;12240;2730;4095;180;234;-;0;184;98;8670;8670;2310;3465;450;585
MU;4202859;      Braço do Trombudo;301;361;45;24;3306;3306;192;288;342;445;301;361;68;36;4200;4200;342;513;17;22;366;439;64;34;3780;3780;342;513;17;22;315;378;35;19;3990;3990;1080;1620;6;8;258;310;21;11;1890;1890;990;1485;12;16
MU;4205100;      Dona Emma;120;144;53;28;3600;3600;168;252;-;0;120;144;53;28;4500;4500;252;378;-;0;102;122;44;23;4275;4275;252;378;-;0;102;122;16;8;4350;4350;216;324;10;13;96;115;24;13;2700;2700;330;495;-;0
MU;4206900;      Ibirama;435;522;35;19;2346;2346;-;0;-;0;435;522;36;19;2484;2484;-;0;-;0;425;510;47;25;2268;2268;-;0;-;0;425;510;24;13;2268;2268;-;0;-;0;350;420;13;7;1386;1386;-;0;-;0
MU;4209151;      José Boiteux;27;32;34;18;2400;2400;-;0;-;0;27;32;38;20;2310;2310;-;0;-;0;27;32;42;22;2448;2448;-;0;-;0;27;32;45;24;2352;2352;-;0;8;10;24;29;31;16;2016;2016;-;0;75;98
MU;4209508;      Laurentino;272;326;75;40;1776;1776;18;27;-;0;239;287;67;36;1560;1560;90;135;-;0;288;346;216;114;2640;2640;72;108;-;0;341;409;33;17;2720;2720;72;108;-;0;192;230;18;10;1200;1200;60;90;-;0
MU;4209904;      Lontras;1539;1847;215;114;4275;4275;28;42;-;0;1349;1619;215;114;5040;5040;270;405;-;0;1349;1619;192;102;4440;4440;360;540;-;0;1349;1619;79;42;4577;4577;300;450;-;0;1065;1278;90;48;2442;2442;300;450;96;125
MU;4210852;      Mirim Doce;12800;15360;7;4;500;500;-;0;-;0;12267;14720;8;4;1000;1000;-;0;-;0;13600;16320;5;3;960;960;18;27;-;0;12208;14650;8;4;1100;1100;-;0;-;0;12426;14911;8;4;1020;1020;-;0;-;0
MU;4213708;      Pouso Redondo;15000;18000;85;45;5280;5280;750;1125;100;130;15334;18401;89;47;5280;5280;825;1238;100;130;18000;21600;138;73;8580;8580;3600;5400;1200;1560;15260;18312;90;48;5280;5280;800;1200;100;130;15198;18238;95;50;5280;5280;1950;2925;210;273
MU;4214003;      Presidente Getúlio;542;650;146;77;10836;10836;1050;1575;-;0;476;571;152;81;11970;11970;1365;2048;360;468;476;571;198;105;11970;11970;1620;2430;405;527;571;685;63;33;12107;12107;1620;2430;120;156;460;552;57;30;7980;7980;1620;2430;243;316
MU;4214102;      Presidente Nereu;-;0;67;36;2646;2646;-;0;-;0;-;0;89;47;3264;3264;-;0;-;0;-;0;100;53;3468;3468;-;0;-;0;-;0;83;44;3264;3264;-;0;10;13;-;0;81;43;1632;1632;-;0;19;25
MU;4214508;      Rio do Campo;9750;11700;45;24;8500;8500;2550;3825;-;0;9500;11400;60;32;10200;10200;2975;4463;-;0;9450;11340;45;24;10200;10200;6000;9000;-;0;9306;11167;55;29;10200;10200;2862;4293;-;0;9419;11303;53;28;10200;10200;6000;9000;150;195
MU;4214607;      Rio do Oeste;11835;14202;171;91;6336;6336;360;540;55;72;11835;14202;186;99;8316;8316;390;585;60;78;11700;14040;198;105;8910;8910;390;585;60;78;12055;14466;112;59;7785;7785;390;585;20;26;9074;10889;50;27;4050;4050;300;450;163;212
MU;4214805;      Rio do Sul;2890;3468;43;23;2400;2400;1485;2228;-;0;2890;3468;53;28;2970;2970;1755;2633;-;0;3060;3672;56;30;3300;3300;1872;2808;240;312;2890;3468;21;11;3150;3150;1755;2633;6;8;2100;2520;43;23;1800;1800;1485;2228;135;176
MU;4215307;      Salete;720;864;36;19;3600;3600;750;1125;-;0;720;864;36;19;4080;4080;800;1200;-;0;720;864;108;57;4320;4320;1280;1920;180;234;720;864;36;19;4000;4000;817;1226;-;0;720;864;36;19;4133;4133;1120;1680;-;0
MU;4217808;      Taió;18000;21600;228;121;12650;12650;2400;3600;-;0;18000;21600;228;121;14336;14336;3040;4560;-;0;19000;22800;228;121;15840;15840;2700;4050;-;0;18000;21600;228;121;14805;14805;2854;4281;-;0;18000;21600;228;121;14773;14773;2760;4140;450;585
MU;4218608;      Trombudo Central;551;661;74;39;2160;2160;1368;2052;-;0;551;661;87;46;3000;3000;1353;2030;120;156;551;661;81;43;2850;2850;1800;2700;120;156;551;661;19;10;2800;2800;2160;3240;12;16;250;300;17;9;1350;1350;1200;1800;120;156
MU;4219358;      Vitor Meireles;160;192;105;56;6936;6936;1800;2700;-;0;160;192;114;60;6336;6336;2376;3564;-;0;160;192;108;57;7560;7560;2340;3510;-;0;160;192;63;33;6432;6432;2340;3510;-;0;160;192;54;29;3630;3630;1755;2633;-;0
MU;4219408;      Witmarsum;64;77;17;9;3150;3150;567;851;-;0;64;77;16;8;4050;4050;585;878;348;452;64;77;42;22;4200;4200;624;936;348;452;64;77;14;7;3920;3920;585;878;50;65;52;62;4;2;2520;2520;600;900;210;273
MI;42012;    Blumenau;54195;65034;175;93;8978;8978;508;762;70;91;54542;65450;172;91;8811;8811;422;633;70;91;57396;68875;169;90;8049;8049;423;635;70;91;53385;64062;187;99;7553;7553;1230;1845;70;91;57163;68596;148;78;7863;7863;1230;1845;70;91
MU;4201257;      Apiúna;315;378;36;19;2183;2183;-;0;-;0;315;378;36;19;2183;2183;-;0;-;0;315;378;36;19;1812;1812;-;0;-;0;315;378;36;19;1304;1304;-;0;-;0;280;336;36;19;2017;2017;-;0;-;0
MU;4201703;      Ascurra;4028;4834;2;1;120;120;-;0;-;0;4028;4834;2;1;120;120;-;0;-;0;4170;5004;2;1;120;120;-;0;-;0;4103;4924;2;1;120;120;-;0;-;0;4103;4924;2;1;120;120;-;0;-;0
MU;4202206;      Benedito Novo;2394;2873;12;6;1580;1580;-;0;-;0;2460;2952;12;6;1778;1778;-;0;-;0;2438;2926;7;4;1580;1580;-;0;-;0;2447;2936;7;4;1580;1580;-;0;-;0;2447;2936;9;5;1580;1580;-;0;-;0
MU;4202404;      Blumenau;70;84;6;3;530;530;-;0;-;0;70;84;6;3;530;530;-;0;-;0;70;84;6;3;459;459;-;0;-;0;70;84;6;3;406;406;-;0;-;0;70;84;6;3;498;498;-;0;-;0
MU;4202701;      Botuverá;-;0;67;36;633;633;-;0;-;0;-;0;64;34;720;720;-;0;-;0;-;0;47;25;810;810;-;0;-;0;-;0;45;24;810;810;-;0;-;0;-;0;24;13;675;675;-;0;-;0
MU;4202909;      Brusque;605;726;7;4;-;-;-;0;-;0;605;726;7;4;-;-;-;0;-;0;500;600;8;4;-;-;-;0;-;0;100;120;28;15;-;-;-;0;-;0;100;120;24;13;-;-;-;0;-;0
MU;4205159;      Doutor Pedrinho;6330;7596;-;0;730;730;334;501;70;91;6611;7933;-;0;584;584;334;501;70;91;7596;9115;-;0;730;730;334;501;70;91;6846;8215;-;0;681;681;1139;1709;70;91;7750;9300;-;0;681;681;1139;1709;70;91
MU;4205902;      Gaspar;20700;24840;3;2;36;36;-;0;-;0;20700;24840;3;2;36;36;-;0;-;0;23450;28140;3;2;36;36;-;0;-;0;21617;25940;3;2;36;36;-;0;-;0;23651;28381;3;2;36;36;-;0;-;0
MU;4206306;      Guabiruba;300;360;22;12;630;630;-;0;-;0;300;360;22;12;630;630;-;0;-;0;400;480;41;22;560;560;-;0;-;0;400;480;41;22;560;560;-;0;-;0;400;480;25;13;70;70;-;0;-;0
MU;4207502;      Indaial;1683;2020;11;6;541;541;-;0;-;0;1683;2020;11;6;541;541;-;0;-;0;1698;2038;10;5;269;269;-;0;-;0;1693;2032;10;5;280;280;-;0;-;0;1693;2032;10;5;280;280;-;0;-;0
MU;4210001;      Luiz Alves;2920;3504;-;0;-;-;-;0;-;0;2920;3504;-;0;-;-;-;0;-;0;1825;2190;-;0;-;-;-;0;-;0;1825;2190;-;0;-;-;-;0;-;0;2700;3240;-;0;-;-;-;0;-;0
MU;4213203;      Pomerode;-;0;2;1;441;441;-;0;-;0;-;0;2;1;441;441;-;0;-;0;-;0;2;1;411;411;-;0;-;0;-;0;2;1;438;438;-;0;-;0;-;0;2;1;438;438;-;0;-;0
MU;4214706;      Rio dos Cedros;6525;7830;5;3;916;916;174;261;-;0;6525;7830;5;3;610;610;88;132;-;0;6525;7830;5;3;630;630;89;134;-;0;6525;7830;5;3;732;732;91;137;-;0;6525;7830;5;3;862;862;91;137;-;0
MU;4215109;      Rodeio;4575;5490;2;1;190;190;-;0;-;0;4575;5490;2;1;190;190;-;0;-;0;4575;5490;2;1;184;184;-;0;-;0;3666;4399;2;1;158;158;-;0;-;0;3666;4399;2;1;158;158;-;0;-;0
MU;4218202;      Timbó;3750;4500;-;0;448;448;-;0;-;0;3750;4500;-;0;448;448;-;0;-;0;3834;4601;-;0;448;448;-;0;-;0;3778;4534;-;0;448;448;-;0;-;0;3778;4534;-;0;448;448;-;0;-;0
MI;42013;    Itajaí;74721;89665;11;6;58;58;-;0;-;0;73773;88528;11;6;58;58;-;0;-;0;75098;90118;12;6;340;340;-;0;-;0;79945;95934;17;9;580;580;-;0;-;0;74577;89492;17;9;220;220;-;0;-;0
MU;4202008;      Balneário Camboriú;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0
MU;4212809;      Balneário Piçarras;2903;3484;-;0;-;-;-;0;-;0;2993;3592;-;0;-;-;-;0;-;0;1750;2100;-;0;-;-;-;0;-;0;1797;2156;-;0;-;-;-;0;-;0;1540;1848;-;0;-;-;-;0;-;0
MU;4202107;      Barra Velha;3563;4276;-;0;-;-;-;0;-;0;3994;4793;-;0;-;-;-;0;-;0;2352;2822;-;0;-;-;-;0;-;0;2695;3234;-;0;-;-;-;0;-;0;2695;3234;-;0;-;-;-;0;-;0
MU;4202453;      Bombinhas;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0
MU;4203204;      Camboriú;8500;10200;5;3;40;40;-;0;-;0;8217;9860;5;3;40;40;-;0;-;0;8264;9917;5;3;40;40;-;0;-;0;8327;9992;5;3;40;40;-;0;-;0;8370;10044;5;3;40;40;-;0;-;0
MU;4207106;      Ilhota;23600;28320;-;0;18;18;-;0;-;0;22812;27374;-;0;18;18;-;0;-;0;23337;28004;-;0;300;300;-;0;-;0;23482;28178;-;0;540;540;-;0;-;0;21700;26040;-;0;180;180;-;0;-;0
MU;4208203;      Itajaí;13300;15960;6;3;-;-;-;0;-;0;12983;15580;6;3;-;-;-;0;-;0;15200;18240;7;4;-;-;-;0;-;0;16000;19200;12;6;-;-;-;0;-;0;16200;19440;12;6;-;-;-;0;-;0
MU;4208302;      Itapema;2100;2520;-;0;-;-;-;0;-;0;2540;3048;-;0;-;-;-;0;-;0;2147;2576;-;0;-;-;-;0;-;0;2008;2410;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0
MU;4211306;      Navegantes;5670;6804;-;0;-;-;-;0;-;0;5670;6804;-;0;-;-;-;0;-;0;5670;6804;-;0;-;-;-;0;-;0;7296;8755;-;0;-;-;-;0;-;0;7296;8755;-;0;-;-;-;0;-;0
MU;4212502;      Penha;-;0;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0
MU;4213500;      Porto Belo;250;300;-;0;-;-;-;0;-;0;333;400;-;0;-;-;-;0;-;0;2147;2576;-;0;-;-;-;0;-;0;1564;1877;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0
MU;4216354;      São João do Itaperiú;14835;17802;-;0;-;-;-;0;-;0;14231;17077;-;0;-;-;-;0;-;0;14231;17077;-;0;-;-;-;0;-;0;16776;20131;-;0;-;-;-;0;-;0;16776;20131;-;0;-;-;-;0;-;0
MI;42014;    Ituporanga;1753;2104;4034;2138;59088;59088;28413;42620;2728;3546;1753;2104;4363;2312;65412;65412;31638;47457;5308;6900;1755;2106;3956;2097;68850;68850;33897;50846;5260;6838;1755;2106;2638;1398;66879;66879;33702;50553;1178;1531;1405;1686;2433;1289;44010;44010;32484;48726;1919;2495
MU;4200200;      Agrolândia;1573;1888;150;80;6900;6900;2400;3600;240;312;1573;1888;147;78;6000;6000;3120;4680;288;374;1575;1890;134;71;6750;6750;3315;4973;360;468;1575;1890;51;27;6946;6946;3120;4680;18;23;1225;1470;41;22;4500;4500;2640;3960;210;273
MU;4201802;      Atalanta;-;0;109;58;3060;3060;3828;5742;288;374;-;0;125;66;3360;3360;2625;3938;720;936;-;0;132;70;4560;4560;2880;4320;720;936;-;0;39;21;4320;4320;2880;4320;135;176;-;0;45;24;3120;3120;3750;5625;480;624
MU;4204194;      Chapadão do Lageado;-;0;303;161;2988;2988;1980;2970;240;312;-;0;274;145;4980;4980;2496;3744;400;520;-;0;287;152;4980;4980;2496;3744;400;520;-;0;199;105;4731;4731;2496;3744;135;176;-;0;193;102;4320;4320;2304;3456;240;312
MU;4207403;      Imbuia;-;0;360;191;4800;4800;750;1125;16;21;-;0;435;231;7920;7920;900;1350;810;1053;-;0;568;301;8640;8640;1260;1890;810;1053;-;0;358;190;7800;7800;1260;1890;18;23;-;0;558;296;6480;6480;1260;1890;144;187
MU;4208500;      Ituporanga;-;0;2640;1399;25740;25740;14235;21353;1500;1950;-;0;2790;1479;23622;23622;15477;23216;2250;2925;-;0;2280;1208;22320;22320;15600;23400;2250;2925;-;0;1665;882;23994;23994;15600;23400;825;1073;-;0;1290;684;13950;13950;15600;23400;600;780
MU;4212700;      Petrolândia;180;216;115;61;6960;6960;2700;4050;120;156;180;216;204;108;9450;9450;4290;6435;480;624;180;216;177;94;10560;10560;5460;8190;360;468;180;216;100;53;9058;9058;5460;8190;38;49;180;216;96;51;5760;5760;4620;6930;125;163
MU;4219200;      Vidal Ramos;-;0;357;189;8640;8640;2520;3780;324;421;-;0;388;206;10080;10080;2730;4095;360;468;-;0;378;200;11040;11040;2886;4329;360;468;-;0;226;120;10030;10030;2886;4329;9;12;-;0;210;111;5880;5880;2310;3465;120;156
